Input 				 MMPG with Bribe 	 MMPG without Bribe
randomgame-multi-23-6-4.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6
randomgame-multi-23-6-5.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-7-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-7-2.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8
randomgame-multi-23-7-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-7-4.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.638889
randomgame-multi-23-7-5.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-23-8-1.pg 	 FinalAnswer : 0.75 	 FinalAnswer : 0.75
randomgame-multi-23-8-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-23-8-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-8-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-8-5.pg 	 FinalAnswer : 0.714286 	 FinalAnswer : 0.714286
randomgame-multi-23-9-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-9-2.pg 	 FinalAnswer : 0.5 	 FinalAnswer : 0.5
randomgame-multi-23-9-3.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667
randomgame-multi-23-9-4.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-23-9-5.pg 	 FinalAnswer : 0.666667 	 FinalAnswer : 0.666667
randomgame-multi-23-10-1.pg 	 FinalAnswer : 0.625 	 FinalAnswer : 0.625
randomgame-multi-30-10-1.pg 	 FinalAnswer : 0.75 	 FinalAnswer : 0.75
randomgame-multi-31-10-2.pg 	 FinalAnswer : 0.928571 	 FinalAnswer : 0.928571
randomgame-multi-32-10-3.pg 	 FinalAnswer : 0.696429 	 FinalAnswer : 0.696429
randomgame-multi-33-10-4.pg 	 FinalAnswer : 0.6 	 FinalAnswer : 0.6
randomgame-multi-34-10-5.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-35-11-1.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-36-11-2.pg 	 FinalAnswer : 0.8 	 FinalAnswer : 0.8
randomgame-multi-37-11-3.pg 	 FinalAnswer : 1 	 FinalAnswer : 1
randomgame-multi-38-11-4.pg 	 FinalAnswer : 0.595238 	 FinalAnswer : 0.595238
randomgame-multi-39-11-5.pg 	 FinalAnswer : 0.662338 	 FinalAnswer : 0.662338
